tiempo,crudo,filtrado,fusion,kalman,distancia
34.24,99.04950801238907,101.02812476555776,202.32412106227355,192.9296577635959,1.9530171999999997
34.272,101.62523461498867,101.20725772038702,203.14601146301936,193.1843583264026,1.9549640000000004
34.304,105.40705998654656,102.46719840023486,205.73204123027813,193.91245703207318,1.9568480000000004
34.336,103.4873045467015,102.77323024417484,206.33453370180106,194.6178213218183,1.9587320000000004
34.368,96.53907022145793,100.90298223735977,203.88329839721706,194.70041558105586,1.960678800000001
34.4,100.32325750901967,100.72906481885772,202.57285456905106,194.5308734117637,1.9626256000000017
34.432,102.14515054929369,101.1538905379885,200.68080344839944,194.1009947633705,1.9645096000000017
34.464,96.20876771289757,99.67035369046121,199.0721206880169,193.40632214685354,1.9664564000000024
34.496,106.3453544444559,101.6728539166596,201.1891784697408,193.2205657380244,1.9684031999999985
34.528,106.24741992754865,103.04522371992631,202.6959908312042,193.39259342243872,1.9702871999999985
34.56,103.4050018020057,103.15315714455012,201.969723526196,193.40203194834604,1.9721711999999985
34.592,102.3648742524891,102.9166722769318,202.5107399263021,193.4562513909255,1.9741179999999945
34.624,102.42240004577582,102.768390607585,202.09861264737992,193.42606323698308,1.9760647999999952
34.656,99.84473418021594,101.89129367937429,202.06829592475754,193.44728516864978,1.9779487999999952
34.688,96.11720429727399,100.15906686474419,202.77248298130337,193.5921220889909,1.9798327999999952
34.72,99.31162544834038,99.90483443982305,202.10412064907558,193.48690525507251,1.9818423999999963
34.752,96.62809092676699,98.92181138590621,201.6833493798087,193.42744056576294,1.9837263999999963
34.784,99.08437851037891,98.970581523248,201.35134256281452,193.31864642931214,1.9856103999999963
34.816,101.0965865848396,99.60838304172547,201.97007925726746,193.29010020724516,1.987557199999997
34.848,103.59717242722347,100.80501985737487,202.49897265658512,193.3624491699745,1.9895039999999977
34.88,98.34353132728222,100.06657329834707,199.80033330746897,192.98468949752856,1.9913879999999977
34.912,102.67767808327221,100.8499047338246,201.2337466115819,192.93474762840648,1.9932719999999977
34.944,105.39996603912098,102.2149231254135,200.6562459112027,192.73788556695,1.9952187999999984
34.976,101.98402026424658,102.14565226706341,198.1886184270267,192.13002061268648,1.997165599999999
35.008,102.26980037488306,102.1828966994093,198.43327692169566,191.72789363818188,1.999049599999999
35.04,100.7519012756092,101.75359807226927,200.87975421941155,191.84135695082506,2.0009335999999993
35.072,93.80467007159913,99.36891967206822,198.43665025176327,191.38922123295418,2.0029432000000007
35.104,105.07440138240557,101.08056418516941,199.2598035866757,191.27077637369737,2.0048272000000007
35.136,103.05478506475546,101.67283044904522,200.18086892284782,191.34048027395096,2.0067112000000007
35.168,98.81663069094148,100.8159705216141,200.41136887334505,191.3878545030856,2.0086580000000014
35.2,100.06173234759345,100.5896990694079,200.00748299302688,191.35355177495384,2.010604800000002
35.232,99.08160167361868,100.13726985067112,198.73994931658027,191.1474706691551,2.012488800000002
